lr,batch_size,optimizer,dropout,architecture,fold,epoch,train_loss,val_acc,,
0.001,128,Adam,0.5,[128],1,10,0.1426,0.9659,,
0.001,128,Adam,0.5,[128],1,11,0.1377,0.9667,,
0.001,128,Adam,0.5,[128],1,12,0.1325,0.9674,,
0.001,128,Adam,0.5,[128],1,13,0.1237,0.9684,,
0.001,128,Adam,0.5,[128],1,14,0.1194,0.9676,,
0.001,128,Adam,0.5,[128],1,15,0.1144,0.9691,,
0.001,128,Adam,0.5,[128],2,1,0.6439,0.9161,,
0.001,128,Adam,0.5,[128],2,2,0.3301,0.9337,,
0.001,128,Adam,0.5,[128],2,3,0.268,0.9446,,
0.001,128,Adam,0.5,[128],2,4,0.2316,0.9509,,
0.001,128,Adam,0.5,[128],2,5,0.2064,0.9552,,
0.001,128,Adam,0.5,[128],2,6,0.1849,0.9577,,
0.001,128,Adam,0.5,[128],2,7,0.175,0.9601,,
0.001,128,Adam,0.5,[128],2,8,0.1598,0.962,,
0.001,128,Adam,0.5,[128],2,9,0.1528,0.9641,,
0.001,128,Adam,0.5,[128],2,10,0.1445,0.9656,,
0.001,128,Adam,0.5,[128],2,11,0.1349,0.9654,,
0.001,128,Adam,0.5,[128],2,12,0.1298,0.9677,,
0.001,128,Adam,0.5,[128],2,13,0.1254,0.9676,,
0.001,128,Adam,0.5,[128],2,14,0.118,0.9688,,
0.001,128,Adam,0.5,[128],2,15,0.117,0.9688,,
0.001,128,Adam,0.5,[128],3,1,0.6249,0.9155,,
0.001,128,Adam,0.5,[128],3,2,0.3197,0.9361,,
0.001,128,Adam,0.5,[128],3,3,0.2616,0.9456,,
0.001,128,Adam,0.5,[128],3,4,0.2285,0.9526,,
0.001,128,Adam,0.5,[128],3,5,0.2044,0.956,,
0.001,128,Adam,0.5,[128],3,6,0.1882,0.9613,,
0.001,128,Adam,0.5,[128],3,7,0.1772,0.9631,,
0.001,128,Adam,0.5,[128],3,8,0.1642,0.9645,,
0.001,128,Adam,0.5,[128],3,9,0.1482,0.967,,
0.001,128,Adam,0.5,[128],3,10,0.1451,0.9673,,
0.001,128,Adam,0.5,[128],3,11,0.1389,0.9687,,
0.001,128,Adam,0.5,[128],3,12,0.1321,0.9697,,
0.001,128,Adam,0.5,[128],3,13,0.128,0.9704,,
0.001,128,Adam,0.5,[128],3,14,0.1214,0.9711,,
0.001,128,Adam,0.5,[128],3,15,0.1142,0.9722,,
0.01,64,SGD,0,"[512, 256, 128]",1,1,2.2628,0.6065,,
0.01,64,SGD,0,"[512, 256, 128]",1,2,1.579,0.7571,,
0.01,64,SGD,0,"[512, 256, 128]",1,3,0.6459,0.853,,
0.01,64,SGD,0,"[512, 256, 128]",1,4,0.4631,0.8788,,
0.01,64,SGD,0,"[512, 256, 128]",1,5,0.3958,0.8958,,
0.01,64,SGD,0,"[512, 256, 128]",1,6,0.3551,0.9039,,
0.01,64,SGD,0,"[512, 256, 128]",1,7,0.3255,0.9102,,
0.01,64,SGD,0,"[512, 256, 128]",1,8,0.3009,0.9134,,
0.01,64,SGD,0,"[512, 256, 128]",1,9,0.2796,0.9213,,
0.01,64,SGD,0,"[512, 256, 128]",1,10,0.2591,0.9271,,
0.01,64,SGD,0,"[512, 256, 128]",1,11,0.2412,0.9326,,
0.01,64,SGD,0,"[512, 256, 128]",1,12,0.2249,0.9348,,
0.01,64,SGD,0,"[512, 256, 128]",1,13,0.2096,0.9383,,
0.01,64,SGD,0,"[512, 256, 128]",1,14,0.1956,0.9414,,
0.01,64,SGD,0,"[512, 256, 128]",1,15,0.1844,0.9435,,
0.01,64,SGD,0,"[512, 256, 128]",2,1,2.2656,0.5363,,
0.01,64,SGD,0,"[512, 256, 128]",2,2,1.6687,0.7671,,
0.01,64,SGD,0,"[512, 256, 128]",2,3,0.6948,0.842,,
0.01,64,SGD,0,"[512, 256, 128]",2,4,0.4754,0.8828,,
0.01,64,SGD,0,"[512, 256, 128]",2,5,0.3902,0.8966,,
0.01,64,SGD,0,"[512, 256, 128]",2,6,0.3476,0.905,,
0.01,64,SGD,0,"[512, 256, 128]",2,7,0.3179,0.9077,,
0.01,64,SGD,0,"[512, 256, 128]",2,8,0.2946,0.9152,,
0.01,64,SGD,0,"[512, 256, 128]",2,9,0.2735,0.9202,,
0.01,64,SGD,0,"[512, 256, 128]",2,10,0.2546,0.9256,,
0.01,64,SGD,0,"[512, 256, 128]",2,11,0.2373,0.9284,,
0.01,64,SGD,0,"[512, 256, 128]",2,12,0.221,0.9332,,
0.01,64,SGD,0,"[512, 256, 128]",2,13,0.2072,0.9369,,
0.01,64,SGD,0,"[512, 256, 128]",2,14,0.1943,0.9395,,
0.01,64,SGD,0,"[512, 256, 128]",2,15,0.1815,0.9408,,
0.01,64,SGD,0,"[512, 256, 128]",3,1,2.2705,0.5047,,
0.01,64,SGD,0,"[512, 256, 128]",3,2,1.7373,0.752,,
0.01,64,SGD,0,"[512, 256, 128]",3,3,0.6783,0.8468,,
0.01,64,SGD,0,"[512, 256, 128]",3,4,0.4618,0.8777,,
0.01,64,SGD,0,"[512, 256, 128]",3,5,0.3899,0.8888,,
0.01,64,SGD,0,"[512, 256, 128]",3,6,0.351,0.8997,,
0.01,64,SGD,0,"[512, 256, 128]",3,7,0.3224,0.9076,,
0.01,64,SGD,0,"[512, 256, 128]",3,8,0.2991,0.913,,
0.01,64,SGD,0,"[512, 256, 128]",3,9,0.2788,0.918,,
0.01,64,SGD,0,"[512, 256, 128]",3,10,0.2589,0.9232,,
0.01,64,SGD,0,"[512, 256, 128]",3,11,0.2413,0.9285,,
0.01,64,SGD,0,"[512, 256, 128]",3,12,0.2248,0.9335,,
0.01,64,SGD,0,"[512, 256, 128]",3,13,0.2095,0.9379,,
0.01,64,SGD,0,"[512, 256, 128]",3,14,0.1956,0.9417,,
0.01,64,SGD,0,"[512, 256, 128]",3,15,0.1836,0.9446,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,1,0.363,0.9571,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,2,0.1409,0.9645,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,3,0.0993,0.9691,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,4,0.0838,0.9704,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,5,0.0658,0.9745,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,6,0.0596,0.9729,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,7,0.0473,0.9758,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,8,0.0442,0.9741,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,9,0.0419,0.9718,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,10,0.0368,0.9787,,
