rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
28,B12,32.0,120.6,99.3,0.9035,51.5,51.2,16.1,18.8,35.6,31.2,31.0,33.5,51.2,49.8,34.7,35.4,40.2,40.8,65.4,2.1,Baylor,9.0,R32,2025,,pre,0.0
29,SEC,33.0,117.1,96.5,0.9026,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,51.0,51.6,34.1,32.7,40.2,44.0,68.8,5.0,Mississippi,6.0,Sweet Sixteen,2025,,pre,0.0
30,SEC,33.0,118.5,98.6,0.8925,51.7,51.9,15.1,19.0,34.1,29.5,31.6,35.4,55.2,50.1,31.4,36.1,42.3,44.2,68.7,3.1,Mississippi St.,8.0,R64,2025,,pre,0.0
31,SEC,32.0,115.3,96.0,0.8925,52.5,47.2,18.8,18.0,36.1,31.8,39.8,30.4,53.8,47.8,33.5,30.9,36.8,40.6,67.2,2.1,Georgia,9.0,R64,2025,,pre,0.0
32,B12,32.0,110.3,92.2,0.8872,50.0,46.3,16.2,19.4,25.9,30.8,25.6,32.2,50.9,47.3,32.6,29.7,46.1,36.5,64.9,1.5,West Virginia,,,2025,,pre,0.0
33,A10,33.0,114.9,96.1,0.8868,52.4,44.4,16.8,20.6,36.7,30.0,32.2,36.1,54.2,43.6,33.5,30.6,47.4,35.3,66.9,1.0,VCU,11.0,R64,2025,,pre,0.0
34,B10,33.0,115.6,96.9,0.8838,52.2,49.1,16.2,17.6,30.6,29.2,33.4,27.7,53.0,50.0,34.0,31.7,38.6,37.4,68.5,5.8,Oregon,5.0,R32,2025,,pre,0.0
35,BE,33.0,121.8,102.2,0.883,55.5,48.3,17.1,15.5,35.6,27.4,30.6,40.0,57.3,46.0,35.4,35.1,42.6,34.2,64.6,2.3,Connecticut,8.0,R32,2025,,pre,0.0
36,BE,34.0,116.7,98.2,0.8789,55.8,47.0,18.1,11.7,26.9,27.2,28.5,16.9,60.5,45.8,33.9,32.7,49.0,35.2,67.9,3.1,Creighton,9.0,R32,2025,,pre,0.0
37,B10,32.0,116.8,98.9,0.8716,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,52.6,50.3,36.8,30.5,37.7,37.6,67.8,-0.36,Ohio St.,,,2025,,pre,0.0
38,ACC,35.0,118.1,100.0,0.8714,54.2,49.6,15.1,15.2,29.2,27.1,34.8,30.0,54.9,49.2,35.3,33.5,37.0,37.9,71.3,1.3,North Carolina,11.0,R64,2025,,pre,0.0
39,BE,32.0,115.6,98.3,0.8655,53.9,50.6,16.0,17.6,25.2,25.2,37.2,28.1,51.3,50.5,38.8,33.9,37.4,37.2,69.8,0.46,Xavier,11.0,R64,2025,,pre,0.0
40,MWC,32.0,112.0,95.6,0.8616,50.8,49.2,15.6,20.5,31.5,25.6,37.8,35.0,50.6,48.2,34.1,33.8,32.2,38.3,73.8,2.7,New Mexico,10.0,R32,2025,,pre,0.0
41,B12,33.0,111.0,94.8,0.86,50.9,48.6,15.5,19.7,32.3,30.1,23.4,24.3,52.6,48.0,32.0,33.2,38.1,34.2,66.0,-1.0,Cincinnati,,,2025,,pre,0.0
42,SEC,32.0,118.2,101.0,0.8597,51.7,52.9,14.7,20.0,32.2,29.7,34.0,39.0,53.6,51.5,32.5,36.9,40.2,37.5,70.3,1.6,Vanderbilt,10.0,R64,2025,,pre,0.0
43,SEC,34.0,116.7,99.8,0.859,52.5,48.4,14.3,16.6,29.8,29.7,36.6,39.3,51.8,47.5,36.0,33.3,35.4,36.2,68.1,0.25,Texas,11.0,R68,2025,,pre,0.0
44,SEC,33.0,117.8,101.1,0.853,54.9,51.1,17.3,18.1,26.5,31.7,39.6,35.8,54.6,54.9,37.0,30.5,41.9,41.9,69.2,2.2,Oklahoma,9.0,R64,2025,,pre,0.0
45,SEC,33.0,111.4,95.7,0.8528,52.7,48.3,16.5,17.5,27.6,28.3,35.5,29.4,54.4,48.5,33.3,31.9,36.7,39.5,70.0,1.4,Arkansas,10.0,Sweet Sixteen,2025,,pre,0.0
46,MWC,34.0,114.9,98.9,0.8486,55.8,48.5,17.4,16.7,26.4,25.3,31.8,33.6,56.5,47.7,36.6,33.1,42.8,37.9,66.8,0.7,Colorado St.,12.0,R32,2025,,pre,0.0
47,MWC,32.0,121.4,104.6,0.8468,56.0,51.8,16.0,20.2,34.6,30.3,37.6,36.2,57.7,52.6,35.8,33.8,42.3,44.4,68.4,2.2,Utah St.,10.0,R64,2025,,pre,0.0
48,MWC,33.0,115.5,99.6,0.8457,52.1,49.6,16.9,16.1,33.2,22.6,39.2,31.1,56.3,48.6,31.0,34.2,43.3,36.2,66.1,-0.03,Boise St.,,,2025,,pre,0.0
49,ACC,33.0,116.6,100.9,0.8418,54.7,47.8,17.4,17.9,36.7,30.5,36.7,32.5,53.7,46.8,37.6,32.9,35.1,41.0,69.6,-0.5,SMU,,,2025,,pre,0.0
50,MWC,29.0,108.8,94.1,0.8416,50.6,45.3,16.8,19.7,29.4,30.9,32.1,37.2,51.6,45.0,32.8,30.4,39.4,47.3,66.6,1.0,San Diego St.,11.0,R68,2025,,pre,0.0
51,B10,32.0,112.8,97.7,0.8397,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,33.2,38.9,68.7,0.9,Indiana,,,2025,,pre,0.0
52,B10,33.0,112.9,97.9,0.8388,49.8,49.9,14.9,19.8,31.2,30.1,31.3,36.6,49.7,49.4,33.3,33.8,34.2,39.3,65.7,-2.2,Northwestern,,,2025,,pre,0.0
53,BE,33.0,119.3,103.5,0.8361,54.9,51.1,15.6,16.0,30.2,27.4,28.9,30.1,51.1,50.3,39.8,34.7,43.6,45.9,63.9,-2.8,Villanova,,,2025,,pre,0.0
54,WCC,32.0,115.5,100.4,0.8337,55.5,49.5,17.0,16.9,32.8,26.9,28.9,31.9,54.6,51.7,37.7,30.7,46.8,39.7,69.7,-3.3,Santa Clara,,,2025,,pre,0.0
55,BW,32.0,112.3,97.8,0.8309,55.4,47.7,13.4,23.3,25.6,28.4,33.8,29.8,56.1,46.2,36.5,33.1,49.6,44.3,66.5,0.9,UC San Diego,12.0,R64,2025,,pre,0.0
56,MVC,31.0,112.8,98.3,0.8285,53.8,51.7,18.6,22.1,36.0,25.8,43.0,35.8,54.6,54.3,35.0,31.8,36.8,39.1,59.4,2.7,Drake,11.0,R32,2025,,pre,0.0
57,CUSA,31.0,112.5,98.3,0.825,58.4,45.9,15.3,16.9,18.9,28.0,30.9,26.3,57.7,48.0,39.5,28.0,47.7,34.4,66.1,-0.21,Liberty,12.0,R64,2025,,pre,0.0
58,B10,33.0,116.4,102.0,0.8208,54.6,52.4,17.8,17.8,28.2,30.9,36.4,34.9,54.3,54.3,36.7,32.9,34.7,38.5,69.0,-3.2,USC,,,2025,,pre,0.0
