rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
43,CUSA,5,3–2 0–0,103.9 117,89.8 30,.8424 43,49.2 134,51.9 190,17.2 66,20.2 87,23.8 261,21.6 15,25.6 225,27.6 95,48.6 157,52.3 203,33.3 133,33.8 163,44.2 60,29.2 22,60.9 356,+0.37 48,North Texas,,,2022,N,A-N
44,SEC,5,3–2 0–0,109.1 52,94.3 66,.8413 44,47.4 189,51.3 172,20.1 192,22.4 28,35.6 18,25.8 72,36.4 41,32.7 193,47.2 192,52.8 217,31.8 189,31.3 92,38.5 170,25.8 3,69.8 135,-0.04 67,Florida,,,2022,N,A-N
45,CAA,8,5–3 0–0,115.1 14,99.7 156,.8388 45,52.7 48,46.6 47,17.7 83,17.5 220,36.4 12,28.8 159,36.1 45,33.2 204,47.5 182,46.2 44,39.8 16,31.4 94,42.8 86,43.8 306,64.8 330,-0.5 91,Towson,,,2022,N,A-N
46,P12,3,1–2 0–0,106.4 80,92.2 45,.8385 46,50.0 111,46.3 41,13.5 11,22.2 37,33.9 38,28.3 141,29.2 142,36.0 258,51.4 71,41.0 3,32.1 177,37.5 286,42.2 98,34.8 98,68.2 212,-1.0 126,Washington St.,,,2022,N,A-N
47,WCC,5,2–3 0–0,105.2 98,91.4 41,.8342 47,52.3 56,44.0 13,20.6 222,16.3 262,20.4 331,28.2 136,19.6 333,23.7 37,47.2 192,45.0 33,42.5 6,27.8 34,31.1 304,29.2 22,71.9 54,-0.8 110,Santa Clara,,,2022,N,A-N
48,MWC,6,3–3 0–0,103.1 129,89.7 29,.8321 48,45.7 238,48.5 86,16.7 48,20.4 81,29.9 115,23.5 34,30.6 123,26.2 67,45.7 234,45.5 37,30.4 243,35.7 231,38.6 167,38.1 185,61.0 355,-0.9 112,Fresno St.,,,2022,N,A-N
49,B12,3,1–2 0–0,110.7 42,96.5 100,.8289 49,47.1 198,50.6 148,17.6 79,19.7 113,31.4 82,34.0 293,21.3 309,29.9 145,50.4 108,54.6 266,26.4 320,28.6 43,30.5 313,34.1 90,62.9 350,-0.22 80,Texas,6,R32,2022,N,A-N
50,MAAC,7,5–2 0–0,106.4 83,92.7 50,.8286 50,49.5 125,43.7 12,21.6 269,16.3 262,30.4 105,26.6 88,37.6 33,40.1 306,48.4 163,47.2 68,34.4 101,26.0 17,33.2 279,42.6 285,69.9 130,+0.7 26,Monmouth,,,2022,N,A-N
51,SEC,4,3–1 0–0,108.2 58,94.4 68,.8271 51,49.1 136,48.6 87,18.0 94,22.5 26,31.4 82,32.1 251,27.6 180,29.2 124,49.2 142,51.2 159,32.7 159,30.0 62,44.8 55,41.1 253,67.4 250,+0.49 42,Vanderbilt,,,2022,N,A-N
52,SEC,5,3–2 0–0,104.4 109,91.4 40,.8219 52,51.3 74,47.9 68,20.5 216,24.6 11,30.6 101,34.2 302,35.4 50,39.2 292,47.3 188,51.0 156,39.8 16,29.0 46,32.1 290,41.2 257,68.9 173,+0.12 61,Texas A&M,,,2022,N,A-N
53,MWC,4,4–0 0–0,112.4 30,99.0 143,.8116 53,56.4 13,47.3 59,16.4 37,17.5 220,19.2 342,29.4 182,30.0 130,21.5 17,52.5 48,51.7 181,40.8 8,27.3 26,44.5 58,40.9 247,69.6 143,+1.3 11,Colorado St.,6,R64,2022,N,A-N
54,A10,7,5–2 0–0,112.6 29,99.6 154,.8044 54,55.2 23,53.0 243,15.3 23,19.9 102,21.5 309,26.7 90,22.2 294,26.5 72,48.9 149,52.4 208,42.9 4,35.8 235,41.1 120,49.5 353,64.9 328,+0.24 56,Davidson,10,R64,2022,N,A-N
55,BE,3,2–1 0–0,105.4 96,93.4 57,.8006 55,45.3 255,47.9 68,18.7 124,15.0 313,29.0 134,24.8 51,32.9 89,22.9 28,40.0 336,46.4 51,34.2 106,33.9 169,46.2 39,33.7 78,64.8 330,+0.50 41,Providence,4,Sweet Sixteen,2022,N,A-N
56,B10,3,1–2 0–0,111.4 37,98.9 140,.7974 56,53.2 37,42.0 6,19.9 180,14.6 326,24.4 243,37.4 338,37.2 35,41.0 314,50.0 120,45.7 39,38.7 27,23.0 8,39.7 144,32.4 51,68.5 195,-0.46 89,Ohio St.,7,R32,2022,N,A-N
57,BE,3,2–1 0–0,105.7 92,94.0 61,.7942 57,42.8 307,50.3 142,12.4 3,17.3 228,25.0 225,21.3 14,43.4 8,32.7 193,46.1 223,48.2 78,25.4 330,36.7 266,41.0 124,30.8 38,69.4 151,+0.5 40,Seton Hall,8,R64,2022,N,A-N
58,SEC,3,2–1 0–0,103.7 121,92.3 46,.7919 58,38.6 356,50.9 160,16.8 52,20.4 81,31.7 75,23.2 32,45.4 4,34.3 228,42.6 302,49.5 109,20.6 358,35.3 214,34.1 260,40.2 235,74.2 14,+0.34 49,Arkansas,4,Elite Eight,2022,N,A-N
59,WCC,6,3–3 0–0,99.1 181,88.3 21,.7917 59,50.0 111,46.1 39,22.9 310,17.7 205,22.4 296,23.1 28,23.3 274,27.4 93,51.3 75,42.6 11,31.8 189,38.0 298,36.5 209,24.6 1,65.0 327,+0.31 52,Saint Mary's,5,R32,2022,N,A-N
60,ACC,4,2–2 0–0,99.0 184,88.2 19,.7911 60,46.6 208,47.4 63,20.3 202,19.9 102,30.0 111,18.7 5,23.8 266,45.0 333,48.5 159,43.8 19,29.5 258,36.9 270,45.2 49,31.1 43,71.5 68,-0.15 74,Louisville,,,2022,N,A-N
61,B10,5,2–3 0–0,106.0 88,94.5 69,.7895 61,48.6 151,48.7 89,20.3 202,14.4 331,32.7 54,25.7 70,33.7 75,16.8 3,49.4 136,46.9 59,31.4 201,34.9 199,37.6 190,33.7 78,65.9 304,-0.6 92,Michigan,11,Sweet Sixteen,2022,N,A-N
62,B12,5,3–2 0–0,104.6 103,93.4 56,.7861 62,47.6 187,46.4 44,20.9 239,21.4 50,38.0 3,30.7 221,40.7 13,48.6 348,51.4 71,42.6 11,24.7 341,33.8 163,26.1 343,46.8 339,70.6 98,+0.00 66,Oklahoma St.,,,2022,N,A-N
63,B10,3,1–2 0–0,107.5 64,96.1 88,.7833 63,48.7 149,52.4 210,12.3 2,17.0 244,23.9 257,17.6 3,21.8 302,33.5 211,45.7 234,49.4 104,36.4 57,37.2 279,34.2 257,46.7 338,66.9 262,-0.6 97,Northwestern,,,2022,N,A-N
64,A10,4,3–1 0–0,111.6 35,99.9 162,.7804 64,46.4 217,53.9 265,19.4 161,21.4 50,34.4 33,31.0 230,52.9 1,47.0 344,43.7 284,54.8 273,35.2 82,34.7 189,29.8 319,32.6 57,72.9 28,+0.8 23,Saint Louis,,,2022,N,A-N
65,CAA,8,3–5 0–0,111.3 38,99.7 157,.7804 65,51.5 70,52.1 195,16.1 31,17.9 192,23.0 278,31.0 230,19.9 327,29.1 123,53.0 42,51.6 176,33.2 144,35.2 211,46.5 37,42.8 291,69.6 143,-1.3 147,Hofstra,,,2022,N,A-N
66,A10,7,3–4 0–0,110.7 41,99.3 148,.7770 66,53.4 33,52.4 210,13.7 12,17.2 235,20.4 331,28.9 163,24.5 254,33.5 211,52.6 47,53.8 249,36.3 61,33.3 147,40.3 131,36.8 142,68.7 185,-1.1 134,Richmond,12,R32,2022,N,A-N
67,B12,5,3–2 0–0,106.4 84,95.6 83,.7730 67,48.3 160,51.7 183,15.9 28,23.1 21,27.7 159,27.5 113,34.6 56,37.3 275,50.5 104,52.8 217,29.0 271,33.3 147,31.5 298,38.8 200,67.9 223,+0.27 54,West Virginia,,,2022,N,A-N
68,BE,1,0–1 0–0,112.9 27,101.7 192,.7681 68,50.9 91,56.9 327,20.8 232,22.2 37,32.4 60,29.0 167,32.8 91,32.8 196,51.6 62,60.0 351,33.3 133,33.3 147,46.6 36,31.0 41,71.9 54,-0.29 82,St. John's,,,2022,N,A-N
69,MWC,5,2–3 0–0,96.6 223,87.3 17,.7630 69,44.9 267,44.9 25,18.1 99,18.8 147,28.1 149,32.6 260,25.4 231,29.7 140,45.2 248,44.5 25,29.5 258,30.4 74,30.7 311,32.5 53,65.4 315,-0.45 88,San Diego St.,8,R64,2022,N,A-N
70,SC,7,5–2 0–0,114.9 16,103.9 236,.7616 70,53.7 32,52.1 195,17.1 61,19.5 122,37.3 8,30.9 227,26.6 197,32.0 181,55.6 20,53.8 249,33.8 120,32.9 139,37.9 177,37.5 162,64.6 332,+0.44 45,Chattanooga,13,R64,2022,N,A-N
71,OVC,8,5–3 0–0,107.4 68,97.4 120,.7562 71,52.5 51,50.6 148,16.9 56,18.3 173,20.9 320,30.3 211,25.5 229,22.0 21,56.5 15,50.5 138,31.5 197,33.8 163,42.5 92,39.3 215,70.8 88,+0.30 53,Belmont,,,2022,N,A-N
72,WAC,8,5–3 0–0,103.7 119,94.1 62,.7538 72,51.1 83,45.6 33,21.7 273,16.3 262,35.3 21,25.7 70,28.2 171,25.4 57,50.8 96,47.9 74,34.5 95,27.6 30,30.5 313,35.3 112,65.5 314,-0.6 94,Utah Valley,,,2022,N,A-N
73,MAC,4,2–2 0–0,94.7 260,86.0 12,.7520 73,41.9 323,44.8 24,15.3 23,22.2 37,24.1 251,33.1 271,17.5 347,27.1 85,34.6 358,52.1 195,33.6 128,20.8 3,45.8 45,34.8 98,65.1 321,-0.09 69,Ohio,,,2022,N,A-N
74,MAAC,8,5–3 0–0,106.7 77,96.9 108,.7516 74,48.6 151,46.1 39,17.7 83,16.1 272,32.2 63,30.6 220,37.4 34,34.9 239,45.6 237,46.6 55,36.0 66,29.9 58,35.9 225,30.4 35,70.1 121,+0.04 64,Iona,,,2022,N,A-N
75,MVC,5,2–3 0–0,112.1 31,101.9 198,.7507 75,54.0 30,55.5 300,17.7 83,15.8 285,25.7 209,14.2 1,29.1 146,26.4 70,50.9 92,54.7 269,38.4 28,37.4 284,46.2 39,53.1 357,71.6 65,-0.9 120,Northern Iowa,,,2022,N,A-N
76,Horz,2,0–2 0–0,115.4 12,105.0 253,.7474 76,49.2 134,55.7 308,15.4 26,21.5 49,28.6 141,31.4 241,36.8 39,46.1 341,49.4 136,60.6 352,32.5 170,31.8 107,32.0 292,38.3 188,69.0 169,-0.8 107,Cleveland St.,,,2022,N,A-N
77,ACC,5,1–4 0–0,106.0 89,96.5 99,.7462 77,48.0 174,54.2 272,18.6 119,17.8 197,21.5 309,20.6 11,32.3 97,37.3 275,51.5 66,50.3 131,28.3 281,40.6 329,39.4 148,36.5 131,67.8 229,-1.3 145,Notre Dame,11,R32,2022,N,A-N
78,Amer,4,1–3 0–0,110.7 43,100.8 178,.7460 78,53.1 40,52.5 217,18.4 109,16.2 268,21.3 314,26.3 83,37.0 38,32.9 200,51.5 66,53.4 242,37.2 43,34.1 175,37.5 193,41.0 249,69.0 169,-1.5 166,East Carolina,,,2022,N,A-N
79,ACC,4,2–2 0–0,93.9 271,85.5 10,.7444 79,45.3 255,44.0 13,19.9 180,19.4 126,24.6 238,29.2 176,34.6 56,29.4 129,50.9 92,45.6 38,24.7 341,27.6 30,40.3 131,37.8 173,59.6 357,-0.21 79,Virginia,,,2022,N,A-N
80,CUSA,4,2–2 0–0,104.5 104,95.3 79,.7428 80,48.2 165,54.3 274,19.4 161,26.8 3,34.9 29,27.2 102,26.8 194,43.0 325,48.2 170,46.5 54,32.1 177,45.2 355,33.6 269,36.5 131,68.2 212,-0.21 78,UAB,12,R64,2022,N,A-N
81,MWC,7,5–2 0–0,106.4 81,97.2 117,.7383 81,52.0 62,44.7 22,16.7 48,14.5 329,20.8 322,31.1 235,35.5 49,28.5 113,55.9 18,46.6 55,31.4 201,27.3 26,43.7 64,33.9 88,68.5 195,+0.7 29,Wyoming,12,R68,2022,N,A-N
82,NEC,5,3–2 0–0,98.5 195,90.0 32,.7375 82,46.2 221,47.9 68,20.7 226,22.3 33,31.9 68,26.2 80,22.7 287,35.0 242,50.2 114,49.7 115,23.4 351,30.3 70,26.9 339,41.9 272,67.6 233,+0.05 63,Wagner,,,2022,N,A-N
83,Amer,4,2–2 0–0,102.6 142,93.9 60,.7337 83,45.0 264,40.2 3,17.3 67,16.2 268,34.2 37,37.5 339,24.8 244,42.1 323,45.1 255,43.7 18,30.0 249,22.1 5,41.3 112,32.8 62,65.1 321,+0.04 65,Cincinnati,,,2022,N,A-N
84,WAC,5,3–2 0–0,103.1 131,94.7 71,.7254 84,49.5 125,50.0 126,20.7 226,22.4 28,33.1 50,32.9 269,31.3 108,34.8 238,48.4 163,50.3 131,35.1 84,33.0 142,24.9 349,38.7 198,68.7 185,-0.16 75,Stephen F. Austin,,,2022,N,A-N
85,B10,3,2–1 0–0,104.2 113,96.3 92,.7122 85,52.5 51,46.7 48,19.9 180,19.0 138,17.9 350,34.8 316,38.0 29,30.6 160,46.3 220,44.9 31,44.0 3,32.9 139,31.6 297,41.5 264,70.8 88,+0.05 62,Maryland,,,2022,N,A-N
86,ACC,5,1–4 0–0,111.9 32,103.5 226,.7092 86,46.6 208,51.7 183,17.4 72,14.5 329,27.5 164,34.0 293,32.2 99,22.2 22,45.6 237,50.0 121,32.4 172,35.6 224,34.6 249,50.2 354,68.7 185,-1.4 155,Syracuse,,,2022,N,A-N
