rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
1,B10,13,13–0 0–0,117.3 8,83.3 2,.9809 1,56.1 10,44.3 38,15.5 5,27.6 3,38.2 27,26.5 17,30.9 298,17.6 1,55.7 7,42.5 34,38.0 58,31.8 85,32.2 184,34.1 216,67.3 189,+2.5 8,Ohio St.,1,Sweet Sixteen,2011,N,All
2,B12,15,15–0 0–0,114.5 17,83.0 1,.9757 2,58.6 2,41.1 8,19.6 104,23.4 57,37.3 40,29.2 62,40.6 124,29.8 51,59.3 1,43.3 50,38.2 51,24.7 1,32.0 188,34.5 227,71.3 51,+3.7 1,Kansas,1,Elite Eight,2011,N,All
3,ACC,15,14–1 0–0,121.2 1,88.6 16,.9733 3,57.3 4,45.5 68,17.3 29,23.9 41,34.9 106,32.0 149,40.9 117,28.6 33,53.7 25,43.3 50,42.5 3,34.7 180,35.6 105,25.2 8,73.6 15,+3.4 4,Duke,1,Sweet Sixteen,2011,N,All
4,P10,12,9–3 0–0,120.5 2,91.8 44,.9583 4,56.0 11,44.5 43,15.9 6,24.0 38,41.5 8,33.7 209,32.3 279,46.0 286,53.1 34,44.8 88,41.0 13,29.3 25,33.9 146,27.4 29,75.2 8,+0.14 52,Washington,7,R32,2011,N,All
5,SEC,14,12–2 0–0,118.5 5,90.9 32,.9551 5,54.3 27,43.2 21,16.3 9,18.0 296,37.3 40,27.5 26,39.0 152,29.2 47,50.5 82,41.2 20,41.3 12,31.9 87,33.2 156,28.8 52,68.4 149,+2.9 6,Kentucky,4,Final Four,2011,N,All
6,B10,12,10–2 0–0,114.9 15,89.1 20,.9488 6,53.1 49,43.9 34,15.2 2,19.9 210,39.5 16,28.0 36,28.0 326,28.7 36,50.5 82,39.8 9,38.2 51,36.3 249,39.2 40,28.0 40,59.3 343,+1.1 27,Wisconsin,4,Sweet Sixteen,2011,N,All
7,BE,13,13–0 0–0,108.3 50,84.7 3,.9440 7,51.5 82,41.7 9,16.9 18,24.6 26,39.9 15,27.1 22,41.4 106,27.8 28,49.5 107,41.4 22,36.9 89,28.3 18,34.2 133,28.2 42,67.0 203,+1.3 22,Cincinnati,6,R32,2011,N,All
8,MWC,14,12–2 0–0,111.7 29,88.1 14,.9385 8,53.9 34,43.5 27,20.0 126,27.5 4,34.6 118,35.6 275,43.3 70,41.5 239,55.1 15,40.7 14,33.9 170,32.5 109,29.4 264,33.9 207,69.7 92,+2.1 11,UNLV,8,R64,2011,N,All
9,MWC,14,13–1 0–0,115.5 13,91.3 37,.9375 9,51.6 76,44.4 40,15.1 1,22.2 102,33.0 164,28.4 48,39.5 143,35.2 131,51.5 54,43.8 61,34.4 154,30.7 57,34.3 132,29.1 66,72.4 27,+3.2 5,BYU,3,Sweet Sixteen,2011,N,All
10,BE,12,11–1 0–0,118.7 4,93.8 61,.9372 10,60.4 1,47.0 110,20.6 155,19.6 221,34.3 126,28.3 45,33.3 255,35.9 150,58.4 2,44.8 88,42.6 2,34.6 177,35.4 110,31.1 114,68.1 159,+2.8 7,Georgetown,6,R64,2011,N,All
11,BE,12,12–0 0–0,113.0 21,90.0 27,.9319 11,54.2 31,42.5 14,16.7 16,21.6 129,37.3 40,30.9 110,38.5 164,27.0 20,55.3 13,43.7 59,34.5 150,27.4 6,31.3 210,43.5 342,67.9 166,+2.5 9,Syracuse,3,R32,2011,N,All
12,BE,13,12–1 0–0,119.2 3,95.0 79,.9317 12,53.4 44,46.9 107,16.8 17,19.5 227,47.7 1,25.5 9,39.7 136,27.9 29,52.6 40,43.6 56,36.9 89,35.5 215,28.4 282,33.9 207,65.9 249,+1.9 15,Pittsburgh,1,R32,2011,N,All
13,SEC,14,12–2 0–0,111.6 30,89.0 17,.9313 13,55.2 17,42.8 15,20.8 163,19.6 221,33.8 139,29.2 62,47.3 24,28.6 33,53.4 29,43.2 47,38.7 42,28.1 15,39.1 42,31.3 119,70.3 78,+2.0 13,Vanderbilt,5,R64,2011,N,All
14,B10,13,11–2 0–0,107.1 59,85.8 5,.9275 14,51.1 92,42.4 13,17.4 32,26.4 9,34.4 123,30.8 105,32.8 266,32.9 93,49.4 112,42.7 36,36.4 103,27.7 9,32.3 178,26.6 22,67.5 179,+1.7 17,Purdue,3,R32,2011,N,All
15,P10,13,11–2 0–0,115.5 14,92.9 55,.9243 15,56.3 8,45.5 68,19.5 99,21.7 122,37.3 40,30.1 86,44.8 48,36.3 155,55.5 8,45.6 112,38.3 48,30.3 46,41.2 23,26.7 25,66.6 220,+1.1 25,Arizona,5,Elite Eight,2011,N,All
16,BE,12,12–0 0–0,117.4 7,94.6 72,.9234 16,50.1 127,43.1 19,17.6 38,19.5 227,45.2 3,33.7 209,36.3 195,23.4 3,48.2 143,39.2 6,36.5 98,34.6 177,29.4 264,31.0 111,68.1 159,+3.5 3,Connecticut,3,CHAMPS,2011,N,All
17,BE,13,12–1 0–0,111.1 32,89.6 22,.9223 17,49.8 141,43.0 18,17.3 29,19.3 244,36.0 68,26.3 14,41.8 95,30.9 67,51.2 62,43.3 50,31.3 259,28.3 18,32.5 172,36.4 266,68.9 129,+1.7 16,Villanova,9,R64,2011,N,All
18,ACC,14,10–4 0–0,108.1 53,87.3 9,.9212 18,51.5 82,45.0 54,19.1 81,21.0 158,36.0 68,29.5 69,41.6 102,25.7 14,50.7 77,44.8 88,35.9 119,30.3 46,24.9 323,33.5 193,74.6 10,+0.7 39,North Carolina,2,Elite Eight,2011,N,All
19,BE,13,11–2 0–0,111.1 33,89.8 24,.9207 19,55.9 13,43.6 28,19.5 99,25.8 11,36.1 65,32.7 180,35.9 202,42.1 250,55.5 8,42.3 30,37.7 65,30.8 62,42.0 19,33.9 207,71.4 49,+0.30 49,Louisville,4,R64,2011,N,All
20,B12,15,12–3 0–0,110.1 39,89.0 18,.9200 20,49.9 136,40.4 4,17.3 29,20.2 199,38.9 22,31.4 131,41.3 109,31.0 68,47.9 158,38.5 4,36.9 89,30.6 55,26.8 302,25.5 11,69.4 104,+1.6 19,Texas,4,R32,2011,N,All
21,BE,12,11–1 0–0,116.4 10,94.4 67,.9178 21,53.0 52,44.2 36,15.3 3,15.4 343,36.3 63,24.8 5,48.1 14,23.5 4,50.9 68,42.3 30,37.5 74,32.1 95,38.3 56,33.4 188,67.3 189,+2.1 10,Notre Dame,2,R32,2011,N,All
22,B10,13,10–3 0–0,112.0 26,91.1 35,.9144 22,52.5 62,45.4 63,18.3 54,23.5 51,34.8 110,34.2 227,27.7 328,34.2 111,49.6 104,45.6 112,39.7 21,29.9 36,29.6 257,31.2 115,68.2 156,+0.9 35,Illinois,9,R32,2011,N,All
23,MWC,13,13–0 0–0,112.8 22,91.9 48,.9137 23,54.4 25,45.3 59,18.0 47,22.5 87,37.5 36,33.0 189,31.5 291,28.8 39,56.9 4,42.9 41,32.4 226,33.6 144,30.8 224,31.8 137,64.3 303,+3.7 2,San Diego St.,2,Sweet Sixteen,2011,N,All
24,ACC,15,11–4 0–0,104.7 99,85.8 6,.9072 24,53.8 36,40.6 5,20.3 140,23.2 64,40.3 12,30.9 110,39.3 146,29.4 49,54.0 23,39.7 8,35.5 128,28.2 16,21.7 343,33.4 188,72.8 21,-0.09 61,Maryland,,,2011,N,All
25,Horz,11,7–4 0–0,111.0 34,91.2 36,.9058 25,47.7 206,45.7 73,16.2 8,19.5 227,31.3 210,27.8 30,46.0 33,44.0 269,45.9 230,48.1 191,33.8 175,27.5 7,38.0 60,34.4 226,67.4 184,+0.03 53,Butler,8,Finals,2011,N,All
26,CUSA,12,12–0 0–0,106.5 68,87.5 10,.9050 26,54.4 25,39.9 3,20.2 136,21.4 138,32.6 176,30.7 102,53.0 5,30.6 60,53.0 36,38.3 2,38.3 48,29.7 31,31.6 200,25.7 15,69.0 125,+2.1 12,UCF,,,2011,N,All
27,P10,12,10–2 0–0,110.5 37,91.0 34,.9026 27,56.4 7,42.8 15,17.1 24,24.3 34,28.3 288,32.5 171,32.4 276,36.8 158,55.0 17,44.4 74,39.3 28,27.1 4,35.4 110,43.2 340,69.4 104,+1.1 28,Washington St.,,,2011,N,All
28,BE,12,9–3 0–0,114.1 18,94.4 68,.8979 28,50.8 101,44.2 36,19.4 94,19.5 227,41.8 7,35.2 260,49.6 11,38.5 188,51.6 51,45.5 105,32.9 212,27.7 9,33.6 152,34.7 232,65.7 256,+1.1 29,West Virginia,5,R32,2011,N,All
29,WCC,15,11–4 0–0,117.2 9,97.1 95,.8970 29,56.3 8,47.9 138,16.9 18,20.8 169,35.0 98,25.4 8,30.5 306,40.8 226,54.5 21,46.6 144,39.4 26,34.4 167,39.0 46,26.8 26,67.2 194,+0.39 43,Saint Mary's,,,2011,N,All
30,SEC,14,11–3 0–0,109.1 43,90.9 33,.8914 30,51.6 76,45.8 74,22.0 229,21.2 147,42.2 6,30.9 110,36.7 189,23.5 4,52.3 48,45.4 104,33.2 197,31.2 67,30.0 247,31.6 129,65.0 278,+0.9 33,Florida,2,Elite Eight,2011,N,All
31,B10,11,10–1 0–0,116.3 11,97.3 97,.8855 31,58.3 3,49.1 173,16.4 10,22.9 72,29.7 255,26.3 14,34.4 236,32.8 86,56.4 5,49.2 222,40.8 15,32.7 117,40.4 28,34.0 212,67.1 197,+0.6 40,Northwestern,,,2011,N,All
32,B12,14,13–1 0–0,111.6 31,93.4 58,.8851 32,54.5 23,47.2 117,17.5 35,26.8 6,35.0 98,35.0 251,33.3 255,38.2 184,53.0 36,46.5 137,38.5 44,32.3 102,30.5 230,33.6 199,73.4 17,+2.0 14,Missouri,11,R64,2011,N,All
33,B12,14,11–3 0–0,104.8 95,87.8 12,.8849 33,49.6 150,44.4 40,21.5 205,23.5 51,44.0 4,29.0 59,42.7 78,42.0 249,46.7 204,42.7 36,37.3 77,32.7 117,31.5 204,27.6 34,71.0 59,+1.1 26,Kansas St.,5,R32,2011,N,All
