rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,snapshot,champion,win_pct,champ_prob
220,MAC,31.0,105.0,109.5,0.3815,49.8,53.1,17.6,18.2,32.1,29.1,35.8,31.3,51.2,52.5,31.3,35.9,33.3,43.9,67.5,-11.4,Central Michigan,,,2025,post,0,,0.0
221,Slnd,31.0,105.2,109.7,0.3811,51.7,51.4,19.2,17.6,30.8,33.9,22.7,29.9,55.4,52.0,31.8,33.4,49.0,35.1,70.7,-9.9,UT Rio Grande Valley,,,2025,post,0,,0.0
222,CAA,32.0,106.8,111.5,0.3789,53.7,53.5,18.1,17.6,26.2,30.2,35.6,35.5,55.8,54.4,34.5,34.8,51.5,41.6,71.7,-10.6,William & Mary,,,2025,post,0,,0.0
223,A10,32.0,101.5,106.4,0.3689,45.1,49.8,16.1,17.5,34.3,31.0,34.0,36.6,46.6,49.7,28.0,33.2,32.2,39.9,70.6,-13.5,Massachusetts,,,2025,post,0,,0.0
224,A10,33.0,106.3,111.4,0.3682,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32.0,35.5,41.5,31.8,69.8,-14.1,Fordham,,,2025,post,0,,0.0
225,OVC,34.0,101.0,105.9,0.3679,48.5,47.6,17.2,17.1,31.3,29.7,33.1,33.1,47.9,46.3,33.1,33.1,36.6,38.7,66.2,-7.7,SIU Edwardsville,16.0,R64,2025,post,0,,0.0
226,CAA,33.0,97.9,102.7,0.366,48.9,45.9,17.6,16.4,25.8,28.6,25.3,38.0,48.1,42.6,33.2,33.9,42.3,40.4,63.9,-13.4,Hofstra,,,2025,post,0,,0.0
227,AE,33.0,99.9,104.9,0.3635,49.0,48.8,17.3,15.7,26.2,25.8,29.8,27.1,49.5,48.3,32.3,33.0,43.5,38.6,62.8,-8.1,Vermont,,,2025,post,0,,0.0
228,BSth,32.0,105.1,110.5,0.3599,51.3,55.9,18.0,20.7,32.1,29.6,45.4,38.3,52.3,59.8,32.9,33.7,33.9,41.6,69.2,-9.7,Longwood,,,2025,post,0,,0.0
229,Sum,33.0,100.6,105.8,0.3595,48.4,51.2,18.6,17.1,32.8,29.7,30.9,35.2,47.5,53.6,33.1,31.8,44.0,40.8,64.7,-14.7,UMKC,,,2025,post,0,,0.0
230,CAA,36.0,109.2,114.9,0.3594,55.1,52.2,16.6,15.5,22.4,32.5,30.0,32.9,54.1,51.9,37.7,35.3,39.9,34.1,70.5,-15.0,Delaware,,,2025,post,0,,0.0
