rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
140,SB,9,6–3 6–3,104.4 152,102.2 132,.5604 140,49.5 199,51.6 166,18.1 144,18.8 116,32.4 60,24.9 75,29.3 207,38.4 260,52.0 73,52.0 217,30.7 288,34.1 126,41.1 110,39.9 210,64.2 324,-0.48 83,Texas St.,,,2019,C,A-N
141,Pat,9,5–4 5–4,110.2 62,108.2 255,.5524 141,55.2 26,55.1 291,18.6 176,19.0 111,30.6 91,26.1 108,25.7 281,30.5 105,52.5 57,53.0 254,39.4 23,38.6 291,40.8 114,42.8 281,67.0 231,-2.3 166,Colgate,15,R64,2019,C,A-N
142,MAC,9,4–5 4–5,106.4 116,104.7 184,.5462 142,46.3 293,53.0 229,19.6 224,20.2 64,37.0 15,33.2 325,29.1 212,41.9 297,48.4 209,55.0 302,28.4 329,33.0 94,36.9 208,35.9 98,67.4 214,-1.6 132,Kent St.,,,2019,C,A-N
143,SEC,9,1–8 1–8,101.5 213,99.9 92,.5453 143,45.9 303,51.6 166,22.6 326,14.0 327,29.4 124,30.9 261,42.1 14,36.9 237,49.8 149,52.1 219,26.3 348,33.7 108,38.4 171,34.5 62,69.2 131,-1.8 142,Georgia,,,2019,C,A-N
144,P12,9,3–6 3–6,108.1 92,106.5 216,.5429 144,47.5 267,56.2 317,15.0 21,18.4 136,29.8 107,28.0 175,30.6 169,43.5 315,42.4 341,54.8 300,37.8 60,39.2 294,36.1 232,35.4 88,66.9 239,-1.7 136,Arizona,,,2019,C,A-N
145,Slnd,9,7–2 7–2,99.1 249,97.9 66,.5374 145,51.5 117,46.4 24,17.4 105,22.0 24,25.6 239,27.2 145,30.5 176,31.7 128,48.3 215,44.1 15,38.4 46,34.5 151,34.7 268,31.0 11,66.8 247,-0.8 108,Abilene Christian,15,R64,2019,C,A-N
146,ACC,9,1–8 1–8,104.9 145,103.6 155,.5358 146,42.7 347,56.0 314,17.7 123,16.1 260,31.1 78,26.8 132,28.9 216,40.3 280,40.4 347,57.5 331,31.0 277,36.0 205,38.7 165,42.9 286,70.0 92,-1.7 137,Wake Forest,,,2019,C,A-N
147,CUSA,9,6–3 6–3,99.1 250,97.9 67,.5349 147,45.7 307,47.1 35,19.2 210,17.4 191,32.1 67,24.5 62,30.8 164,36.8 234,43.4 334,40.9 3,33.0 217,36.6 223,37.7 192,43.9 305,66.3 275,-0.8 104,Old Dominion,14,R64,2019,C,A-N
148,A10,9,4–5 4–5,102.6 189,101.4 118,.5343 148,50.0 179,51.7 175,18.9 198,17.0 207,26.3 226,26.7 126,35.1 81,30.7 107,50.6 119,49.2 114,32.5 232,36.8 230,33.5 291,42.7 279,66.9 239,-1.5 128,Rhode Island,,,2019,C,A-N
149,Amer,9,1–8 1–8,106.9 110,105.7 206,.5341 149,48.4 237,54.0 264,18.6 176,17.6 175,30.8 85,26.5 118,27.6 243,51.3 347,45.7 294,51.3 187,35.1 146,39.7 311,39.3 150,32.9 31,68.5 159,-3.1 218,Connecticut,,,2019,C,A-N
